Product,Issue,Company,State,ZIP code,Complaint ID
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,IL,605XX,3228802
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,320XX,3229339
student loan,struggling repay loan,aespheaa,NY,12180,3229305
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AR,722XX,3229660
credit card prepaid card,problem making payments,american express company,MS,39759,3229306
checking savings account,managing account,wells fargo  company,KY,40041,3229442
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,TX,76133,3229614
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,KY,402XX,3228891
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,OH,44111,3229195
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,302XX,3229665
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,606XX,3228567
student loan,struggling repay loan,equitable acceptance corporation,MD,20601,3229247
debt collection,communication tactics,lendmark financial services,TN,371XX,3229346
vehicle loan lease,struggling pay loan,credit acceptance corporation,FL,328XX,3229360
student loan,dealing lender servicer,loan to learn,OH,430XX,3229308
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,91326,3229703
credit card prepaid card,problem purchase transfer,american express company,MN,553XX,3228461
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,303XX,3229676
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,32305,3226982
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,37128,3229623
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,LA,70714,3229628
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,92505,3229440
checking savings account,managing account,wells fargo  company,VA,23005,3230471
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,606XX,3229543
